X,Y,Z,R,G,B
1.219817769332555,-1.3590564306823616,1.1425271199998526,1.0,0.0,0.0
4.517008618408226,-5.610968255058575,1.524909666211951,1.0,0.0,0.0
2.926382653552393,-5.4893273013059956,1.3388585235747037,1.0,0.0,0.0
1.056616004096191,-4.267094994140955,0.9636578073162361,1.0,0.0,0.0
1.1249967538911654,-4.337021394740017,0.8606571324406911,1.0,0.0,0.0
1.4087419316911909,-4.978024314875968,0.9501711949532945,1.0,0.0,0.0
0.7402329619898387,-5.836265563447284,0.7276051880602066,1.0,0.0,0.0
0.08371376035785083,-5.8174807301747435,0.9878694853089296,1.0,0.0,0.0
0.3610063111920372,-6.617928222658988,0.9391954351772063,1.0,0.0,0.0
-2.4774693111643256,-5.526443529003757,0.2734040456718463,1.0,0.0,0.0
-3.862518064799726,0.28595921410631453,0.2593735937713988,1.0,0.0,0.0
-4.06482438021327,-2.7487261512883503,0.21134642127334935,1.0,0.0,0.0
-4.977742928335298,-0.8612711350929322,1.1498596515636121,1.0,0.0,0.0
5.658104737756194,-16.949708901437255,0.873749227353219,1.0,0.0,0.0
5.698410075751109,-17.01311999159214,0.9001003226102107,1.0,0.0,0.0
-5.5551631701090685,-13.259889693663718,0.8112288065300075,1.0,0.0,0.0
4.639396928813917,-17.38559585977531,1.18362696198343,1.0,0.0,0.0
4.017960017290503,-17.441409848698495,1.3278698141093603,1.0,0.0,0.0
-0.5917347192971665,-16.558968827657353,2.033609803063234,1.0,0.0,0.0
2.197569735491584,-17.55704786087086,1.2667877724205456,1.0,0.0,0.0
-1.53405038819555,-16.531679592948215,2.1514333988111334,1.0,0.0,0.0
0.9722444413614122,-17.66639738532226,1.2929001598654646,1.0,0.0,0.0
-3.205329881808538,-16.50227234928848,1.6353497070338638,1.0,0.0,0.0
-11.143201615063727,-7.487349718802862,0.5051970549967075,1.0,0.0,0.0
-12.42620600901028,-5.4125686841929905,0.5127392136711049,1.0,0.0,0.0
-5.198214028656482,-16.36672126582448,2.292710509003145,1.0,0.0,0.0
-4.715309628365887,-17.081454969892448,0.239063322028084,1.0,0.0,0.0
-12.308287531255068,-8.104857500299781,0.5952013036053199,1.0,0.0,0.0
-13.402390809027917,-4.227973020197288,0.46106928932594293,1.0,0.0,0.0
-13.340402285375639,-7.395646911596141,0.6510946444080734,1.0,0.0,0.0
-13.942830970642081,-5.722619569252998,0.6427024713168255,1.0,0.0,0.0
-12.98689581789224,-9.0159438410378,0.6125672141101877,1.0,0.0,0.0
-13.392550182935693,-8.18643788822179,0.6185938985848685,1.0,0.0,0.0
-14.491372140315974,-4.924320169193967,0.6368203374261736,1.0,0.0,0.0
-5.759952264226149,-18.384127058678196,0.16158583110725866,1.0,0.0,0.0
-14.961925075690722,-4.675706522433428,-0.43533873797577405,1.0,0.0,0.0
3.6036612786047018,-22.048060898805307,1.293982042127329,1.0,0.0,0.0
-6.090767582620089,-19.34242161273853,-0.11118567307170579,1.0,0.0,0.0
-16.529963150045294,-5.948149658526135,2.368401020641522,1.0,0.0,0.0
4.321785645832076,-24.94065993103596,2.4712946142748975,1.0,0.0,0.0
5.794906993535136,-25.000116205388355,2.151222499379202,1.0,0.0,0.0
2.9269029504982385,-24.9370705909089,2.2022839853896112,1.0,0.0,0.0
1.6112525812108744,-24.853300523427322,2.144097371145309,1.0,0.0,0.0
7.6965146532946545,-25.06008082754964,2.1185909653389734,1.0,0.0,0.0
8.879816016818452,-25.112193498887095,2.3044975448523903,1.0,0.0,0.0
-15.388306324443473,-14.68888876730404,2.3308380473435832,1.0,0.0,0.0
-17.150841238982814,-12.485647979331915,2.243642335490337,1.0,0.0,0.0
-2.947558246014167,-25.124057274741222,2.350366222749289,1.0,0.0,0.0
7.986315943726635,-26.54881483860652,2.395668798683772,1.0,0.0,0.0
-2.4111198911854315,-25.695444103233907,2.4652379619788727,1.0,0.0,0.0
-19.931500297220357,-6.394465016621716,2.170150366810748,1.0,0.0,0.0
-1.500463346261368,-26.179486818750412,2.1933283280278006,1.0,0.0,0.0
-20.695768530597856,1.0948398503387131,1.2856469531252706,1.0,0.0,0.0
-18.87843958996463,-11.37189949073608,2.5439278854609677,1.0,0.0,0.0
-21.05693357236798,-4.493064750911943,1.4640706910097798,1.0,0.0,0.0
