X,Y,Z,R,G,B
1.3468348991516477,-1.2100836776789545,2.1036901361866933,1.0,0.0,0.0
3.706162477625287,-6.079146467074745,2.0825381816235677,1.0,0.0,0.0
-0.006725196581042425,-1.189500270259005,2.239453417193895,1.0,0.0,0.0
5.14514853342219,-6.520941786974327,1.121586884154207,1.0,0.0,0.0
5.432211693283561,-6.574766498562686,1.0514620728331967,1.0,0.0,0.0
0.660095766058526,-6.4749322269611485,0.5820892145689311,1.0,0.0,0.0
0.08416611552301134,-6.331266831221656,0.5397417864259144,1.0,0.0,0.0
-0.7313923751610769,-6.317598912524441,3.7877594737798743,1.0,0.0,0.0
-2.1174824733805346,-6.388325321342852,0.48504940800977114,1.0,0.0,0.0
-2.678285885096689,-6.108476083299573,0.4467028380540692,1.0,0.0,0.0
-2.5130735952966203,-7.110984267714905,2.4951275055400846,1.0,0.0,0.0
-2.02272217165991,-7.220713063080772,5.070606571514916,1.0,0.0,0.0
-4.89553817814965,-1.1982880527260793,1.065549823008546,1.0,0.0,0.0
-3.699572609600194,-6.424841052584896,2.782724094876299,1.0,0.0,0.0
-5.164137966617556,-1.2103283443790636,0.7375918377169226,1.0,0.0,0.0
-5.098759160411925,-6.616606814688058,0.6792219976277079,1.0,0.0,0.0
-5.622051432223838,-6.384992602323149,0.6434302284290323,1.0,0.0,0.0
-6.999492290719841,-6.260692853128503,0.7306873425762868,1.0,0.0,0.0
-0.3027233573438748,-13.85619429336273,4.33604748300895,1.0,0.0,0.0
-8.4737800861004,-6.334852390157666,0.8094200356282117,1.0,0.0,0.0
-10.744939713986016,-1.199565926038165,0.9439685567148408,1.0,0.0,0.0
-4.591181435296114,-14.291432613390853,1.3968648110668327,1.0,0.0,0.0
-3.8121318377619833,-15.798266279178538,2.100525023352345,1.0,0.0,0.0
-2.95133033133871,-16.184701903537494,-1.4970744271221288,1.0,0.0,0.0
-4.733732855942954,-15.581813302968786,3.220899200542666,1.0,0.0,0.0
-11.503910666987629,-6.432304683176689,0.8842147414187944,1.0,0.0,0.0
-5.766147575548301,-14.888927207865681,3.6295218246017154,1.0,0.0,0.0
