box_id,category,distance,volume,lidar_points,radar_points,fusion_points,lidar_density,radar_density,fusion_density,scene
unknown,vehicle.trailer,13.746738532221515,33.24121330105607,651,2,653,19.584122700458643,0.0601662755774459,19.64428897603609,scene_bridge_city
unknown,human.pedestrian.adult,59.2811214039499,0.4775766885239941,11,1,12,23.032950025255147,2.093904547750468,25.126854573005616,scene_bridge_city
unknown,vehicle.car,6.568997362766804,9.44062629292751,200,0,200,21.1850351654986,0.0,21.1850351654986,scene_bridge_city
unknown,static_object.traffic_sign,58.28659561169648,0.9583169472870796,42,0,42,43.82683632893973,0.0,43.82683632893973,scene_bridge_city
unknown,vehicle.car,83.48582846336404,13.513411571205577,4,0,4,0.2960022329611579,0.0,0.2960022329611579,scene_bridge_city
unknown,static_object.traffic_sign,75.04578915138659,1.0598055812813814,14,0,14,13.209970061747542,0.0,13.209970061747542,scene_bridge_city
unknown,static_object.traffic_sign,63.98675582621412,0.3907812012640357,18,0,18,46.0615811143845,0.0,46.0615811143845,scene_bridge_city
unknown,human.pedestrian.adult,44.1953824451212,0.99667950308807,87,1,88,87.28984566296673,1.0033315593444452,88.29317722231117,scene_bridge_city
unknown,static_object.traffic_sign,28.78847995090628,2.2325407673688686,98,1,99,43.89617490187944,0.4479201520599943,44.34409505393944,scene_bridge_city
unknown,vehicle.bicycle,29.28714496601983,2.701058160299251,147,2,149,54.4231154147802,0.740450549860955,55.16356596464115,scene_bridge_city
unknown,human.pedestrian.child,33.874878956482995,0.4733205122195215,33,1,34,69.72019836041865,2.11273328364905,71.8329316440677,scene_bridge_city
unknown,vehicle.car,29.777129521813983,11.999071712894796,11,0,11,0.9167375829730942,0.0,0.9167375829730942,scene_bridge_city
unknown,static_object.traffic_sign,37.31309512226015,1.2713837414853515,93,0,93,73.14864660086698,0.0,73.14864660086698,scene_bridge_city
unknown,static_object.traffic_sign,35.59742567428825,3.162138084029031,179,1,180,56.60726864018777,0.316241724246859,56.92351036443463,scene_bridge_city
unknown,static_object.traffic_sign,113.38752365443162,0.2183271855486944,2,1,3,9.160563284749216,4.580281642374608,13.740844927123826,scene_bridge_city
unknown,vehicle.car,53.5130778288545,15.609562219475269,17,4,21,1.089076026667164,0.256253182745215,1.345329209412379,scene_bridge_city
unknown,vehicle.car,162.69219330136613,11.055444132421544,0,0,0,0.0,0.0,0.0,scene_bridge_city
unknown,vehicle.car,88.38024265315204,7.894308709093355,10,0,10,1.2667353619552686,0.0,1.2667353619552686,scene_bridge_city
unknown,human.pedestrian.adult,33.468032562288734,1.2819837559633822,62,1,63,48.362547272222166,0.7800410850358415,49.142588357258006,scene_bridge_city
unknown,static_object.traffic_sign,21.781970762202025,0.6506164966854323,111,2,113,170.6074170659518,3.0740075147018344,173.68142458065364,scene_bridge_city
